paygrade,y0,y2,y3,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y26,y28,y30,y32,y34,y36,y38,y40
w3,4137.00,4309.20,4486.20,4544.10,4728.90,5093.70,5473.20,5652.00,5859.00,6071.70,6455.10,6713.70,6868.20,7032.60,7256.70,7256.70,7256.70,7256.70,7256.70,7256.70,7256.70,7256.70
w2,3660.60,4006.80,4113.30,4186.50,4423.80,4792.80,4975.80,5155.50,5375.70,5547.90,5703.60,5890.20,6012.90,6109.80,6109.80,6109.80,6109.80,6109.80,6109.80,6109.80,6109.80,6109.80
w1,3213.00,3559.20,3651.90,3848.40,4080.60,4423.20,4582.80,4806.60,5026.50,5199.60,5358.60,5552.10,5552.10,5552.10,5552.10,5552.10,5552.10,5552.10,5552.10,5552.10,5552.10,5552.10
e9,0.00,0.00,0.00,0.00,0.00,0.00,5472.90,5596.80,5753.40,5936.70,6123.00,6419.40,6671.40,6935.10,7340.10,7340.10,7706.40,7706.40,8092.20,8092.20,8497.50,8497.50
e8,0.00,0.00,0.00,0.00,0.00,4480.20,4678.20,4800.90,4947.60,5107.20,5394.60,5540.10,5787.90,5925.60,6264.00,6264.00,6389.70,6389.70,6389.70,6389.70,6389.70,6389.70
e7,3114.30,3399.00,3529.50,3701.40,3836.10,4067.40,4197.90,4428.90,4621.50,4752.60,4892.40,4946.40,5128.50,5226.00,5597.40,5597.40,5597.40,5597.40,5597.40,5597.40,5597.40,5597.40
e6,2693.70,2964.30,3095.10,3222.30,3354.90,3653.10,3769.80,3994.80,4063.50,4113.60,4172.10,4172.10,4172.10,4172.10,4172.10,4172.10,4172.10,4172.10,4172.10,4172.10,4172.10,4172.10
e5,2467.50,2634.00,2761.20,2891.40,3094.50,3306.30,3480.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90,3501.90
e4,2262.60,2378.40,2507.10,2634.60,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50,2746.50
e3,2042.70,2171.10,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80,2302.80
e2,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50,1942.50
e1,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10,1733.10
